comment_id,comment_link,who_type,who_name,what,why,issues,scientific_legal_support,pdf_attachments_present,pdf_attachments_count
FSIS-2011-0012-0904,https://www.regulations.gov/comment/FSIS-2011-0012-0904,individual,Ravi Grover,Requests cancellation of plans to cut the number of federal inspectors on chicken and turkey slaughter lines,"Concerned that reducing the number of federal inspectors could jeopardize American health by increasing the risk of food poisoning from chicken and turkey meat, and could lead to more inhumane treatment of livestock","Reduction of federal inspectors in poultry processing, Risk of food poisoning from poultry, Inhumane treatment of livestock",No,No,0
FSIS-2011-0012-0906,https://www.regulations.gov/comment/FSIS-2011-0012-0906,individual,Altagrace Damas,Requests not to pass the proposed rule increasing the line speed at poultry processing plants,"Concerned about the increased risk of human injuries and accidents due to faster line speeds, which are already too fast and causing many repetitive and acute trauma injuries to workers; Also concerned about the greater risk of product contamination and safety if the line speed is increased","Worker safety at increased line speeds, Risk of product contamination at higher line speeds",No,Yes,1
FSIS-2011-0012-0907,https://www.regulations.gov/comment/FSIS-2011-0012-0907,anonymous,Unknown,Requests that comments from profiteers be made public on the web; Requests slower chicken processing lines,"Expresses concern that the agency prioritizes business interests over consumer protection, suggesting that the agency is influenced by profiteers and does not work for consumer groups. The commenter believes that making profiteer comments public will expose dishonest practices. Additionally, the commenter is concerned about the speed of chicken processing lines, implying that slower lines might reduce issues related to consumer health and safety.","Agency bias towards business interests, Lack of transparency in agency dealings with profiteers, Consumer health risks in chicken processing",No,No,0
FSIS-2011-0012-0905,https://www.regulations.gov/comment/FSIS-2011-0012-0905,organization,Western North Carolina Workers Center,Urges to pull the rule regarding the increase in poultry processing line speeds,"Concerned about the serious impacts that a faster line speed will have on workers' health and their ability to produce a quality product. Workers experience significant physical pain and injuries from the current speed, and an increase would exacerbate these issues.","Worker health and safety concerns at increased line speeds, Inadequate time for equipment maintenance leading to injuries, Neglect of worker welfare by supervisors",No,Yes,1
FSIS-2011-0012-0909,https://www.regulations.gov/comment/FSIS-2011-0012-0909,individual,Unknown,"Requests maintaining the current inspection rate of 35 birds per minute per inspector, opposes the proposal to increase the rate to 175 birds per minute","Concerned that increasing the inspection rate to 175 birds per minute will compromise food safety, as it does not allow for thorough inspection of each bird, particularly internal examination, which is necessary to ensure there is no fecal contamination. The commenter also believes that the proposed changes will lead to job losses among inspectors, increasing unemployment and potentially leading to more homes being lost.","Food safety concerns due to high inspection rates, Job losses among inspectors, Economic impact on inspector families",No,No,0
FSIS-2011-0012-0908,https://www.regulations.gov/comment/FSIS-2011-0012-0908,individual,Unknown,Opposes the proposal due to inadequate inspection processes for detecting fecal contamination and other issues within poultry processing; Criticizes the functionality of the PHIS system,"Expresses concern that the proposed changes will lead to oversight failures in detecting fecal contamination and diseases like air saculitis inside poultry carcasses, as inspectors are not required to look inside the carcass. Additionally, criticizes the PHIS system for being inefficient, causing inspectors to spend excessive time on computers rather than performing inspections, which could allow processing establishments to operate without adequate oversight.","Inadequate inspection for fecal contamination, Potential oversight failures in poultry processing, Inefficiency of the PHIS system",No,No,0
FSIS-2011-0012-0911,https://www.regulations.gov/comment/FSIS-2011-0012-0911,individual,Unknown,Believes there is an error in the proposed rules regarding the responsibilities of establishment employees versus on-line inspectors,"Concerned that if establishment employees do not inspect inside the bird or at the viscera, condemnable conditions in poultry will not be detected, potentially leading to health risks","Responsibilities of establishment employees, Detection of condemnable conditions in poultry, Potential health risks from uninspected poultry",No,No,0
FSIS-2011-0012-0910,https://www.regulations.gov/comment/FSIS-2011-0012-0910,anonymous,Unknown,Clarification on whether establishments will be required to visually sort each bird individually,"The commenter is seeking specific information on the procedures for sorting birds, possibly to understand the operational or regulatory implications.",Bird sorting procedures,No,No,0
FSIS-2011-0012-0913,https://www.regulations.gov/comment/FSIS-2011-0012-0913,anonymous,Unknown,Requests not to pass the proposal,Concerned that the proposal will negatively impact public health by making the public sick,Public health risks,No,No,0
FSIS-2011-0012-0912,https://www.regulations.gov/comment/FSIS-2011-0012-0912,individual,Unknown,Requests not to pass the rule increasing production speeds in chicken processing,"Concerned that increasing production speeds will exacerbate repetitive stress injuries among workers, leading to deteriorating health conditions and potential legal actions against the industry","Worker health and safety in chicken processing, Potential legal repercussions for the industry",No,No,0
